Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"19,55","5,32","1,80","59,80"
"20,68","5,03","1,12","58,70"
"30,29","5,36","-9,17","58,67"
"8,98","5,72","1,85","59,74"
"20,79","5,41","1,07","59,78"
"20,12","5,08","0,95","59,66"
"30,58","5,42","-9,63","58,41"
"9,45","5,74","0,93","59,55"
"20,54","5,42","0,39","59,53"
"19,78","5,09","0,60","58,41"
"19,29","4,82","1,31","59,54"
"20,44","4,54","0,87","59,48"
"20,57","4,30","0,29","59,62"
"19,28","4,07","1,02","59,73"
"20,10","3,82","0,91","59,74"
"19,82","3,60","1,09","59,69"
"20,17","3,38","0,92","59,68"
"19,98","3,17","0,94","58,50"
"20,30","2,99","0,64","58,46"
"20,54","2,84","0,10","58,41"
"19,07","2,72","1,03","59,53"
"19,85","2,56","1,18","59,45"
"21,01","2,46","0,17","58,18"
"19,27","2,35","0,91","58,13"
"19,89","2,21","1,01","59,23"
"20,34","2,10","0,67","57,94"
"20,09","1,97","0,58","57,77"
"19,25","1,90","1,33","58,82"
"20,36","1,80","0,97","58,73"
"20,94","1,75","0,03","58,63"
"18,68","1,72","1,35","58,43"
"21,58","1,71","-0,23","57,18"
"18,69","1,69","1,08","58,29"
"19,79","1,59","1,29","58,18"
"19,84","1,50","1,45","58,10"
"20,31","1,43","1,14","56,85"
"19,87","1,35","1,27","57,91"
"21,11","1,33","0,16","56,61"
"18,29","1,36","1,87","57,67"
"20,99","1,33","0,88","57,62"
"20,60","1,29","0,28","57,67"
"19,69","1,23","0,58","56,46"
"20,10","1,16","0,49","57,58"
"19,62","1,11","0,86","56,52"
"19,53","1,07","1,33","57,59"
"20,72","1,05","0,61","57,57"
"20,53","1,01","0,07","56,50"
"19,67","0,97","0,41","56,54"
"19,56","0,94","0,84","57,65"
,,,
,,,
Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"0,00","0,00","0,00","1,04"
"24,06","0,25","-4,06","2,23"
"18,45","0,34","-2,51","3,34"
"25,55","0,66","-8,06","4,44"
"14,02","0,99","-2,07","5,57"
"24,41","1,21","-6,48","6,63"
"17,68","1,28","-4,16","7,68"
"18,50","1,29","-2,66","8,72"
"25,48","1,55","-8,14","9,86"
"16,97","1,64","-5,11","10,97"
"12,87","1,99","2,02","12,20"
"22,07","1,99","-0,05","13,41"
